startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus
64c9c4a9e4b0c4486e89ce53,DIFI DIGITAL FASHION PARK PRIVATE LIMITED,DIPP141292,RECOGNISED,U72900MH2020PTC347598,Prototype,Nagpur,Maharashtra,Fashion,Fan Merchandise,,,,,OK
64c8c9a8e4b0c4486e89a599,SAMSAL TECHSERVE PRIVATE LIMITED,DIPP142203,RECOGNISED,U46512MH2023PTC405090,Validation,Nagpur,Maharashtra,Telecommunication & Networking,Integrated communication services,,,,,OK
64c4f2f4e4b0c4486e8913fb,BRANDOVVEN PRIVATE LIMITED,DIPP140976,RECOGNISED,U74103MH2023PTC402729,Prototype,Nagpur,Maharashtra,Marketing,Digital Marketing (SEO Automation),,,,,OK
64c4ee04e4b0c4486e891320,KIPONO TECHNOLOGY PRIVATE LIMITED,DIPP140965,RECOGNISED,U62099MH2023PTC405275,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Professional Information Services,https://www.toptime.club/,,,,OK
64c239dfe4b0c4486e88b1e6,ACCORD AVIATION PRIVATE LIMITED,DIPP140857,RECOGNISED,U74999MH2017PTC297404,Prototype,Nagpur,Maharashtra,Aeronautics Aerospace & Defence,Aviation & Others,,,,,OK
64c0bae8e4b0c4486e8874f5,Planet5E Wellness Pvt Ltd,DIPP140793,RECOGNISED,U69100MH2023PTC406592,EarlyTraction,Nagpur,Maharashtra,Healthcare & Lifesciences,Health & Wellness,www.planet5e.com,,,,OK
64c0b33ce4b0c4486e8871b1,ELITRA TECHNOVISION PRIVATE LIMITED,DIPP140612,RECOGNISED,U73100MH2023PTC405062,EarlyTraction,Nagpur,Maharashtra,Media & Entertainment,Digital Media,,,,,OK
64c01629e4b0c4486e88648a,TRIPOD TECHNOLOGIES PRIVATE LIMITED,DIPP140602,RECOGNISED,U72501MH2016PTC288372,Scaling,Nagpur,Maharashtra,IT Services,IT Consulting,,,,,OK
64bf96e9e4b0c4486e883a56,CAPITAL ASSOCIATES,DIPP140260,RECOGNISED,NG000008481,Validation,Nagpur,Maharashtra,Waste Management,Others,,,,,OK
64bbb291e4b0c4486e87a9f3,DANDARE BEVERAGES PRIVATE LIMITED,DIPP140412,RECOGNISED,U46308MH2023PTC406457,Prototype,Nagpur,Maharashtra,Food & Beverages,Others,,,,,OK
64ba60fce4b0c4486e87765b,SAI SHIVAANSH INDUSTRIES (I) PRIVATE LIMITED,DIPP140933,RECOGNISED,U20234MH2023PTC405921,Prototype,Nagpur,Maharashtra,Other Specialty Retailers,Others,,,,,OK
64ba56ece4b0c4486e877330,PYTHON ANALYTICS PRIVATE LIMITED,DIPP139814,RECOGNISED,U62011MH2023PTC406786,Validation,Nagpur,Maharashtra,AI,Machine Learning,https://piai.online/,,,,OK
64ba4b08e4b0c4486e876f84,RAVIKA ORGANIC PRIVATE LIMITED,DIPP139809,RECOGNISED,U01100MH2022PTC393561,Prototype,Nagpur,Maharashtra,Agriculture,Organic Agriculture,http://ravikaorganic.com,,,,OK
64b9349ee4b0c4486e874b44,TRINITY FORTUNE PRIVATE LIMITED,DIPP139964,RECOGNISED,U93090MH2022PTC378276,Validation,Nagpur,Maharashtra,Telecommunication & Networking,Others,,,,,OK
64b8f549e4b0c4486e871b99,TULJAI WATER SOLUTIONS,DIPP141031,RECOGNISED,15662,Validation,Nagpur,Maharashtra,Green Technology,Others,,,,,OK
64b8e125e4b0c4486e8709e0,VT AGROVET PRIVATE LIMITED,DIPP140096,RECOGNISED,U01100MH2022PTC382634,Validation,Nagpur,Maharashtra,Agriculture,Animal Husbandry,,,,,OK
64b8bfc5e4b0c4486e86fcff,WIFIKATTA COMMUNICATIONS PRIVATE LIMITED,DIPP140071,RECOGNISED,U64204MH2022PTC394415,Validation,Nagpur,Maharashtra,Telecommunication & Networking,Network Technology Solutions,,,,,OK
64b7fbc1e4b0c4486e86f042,JASSWIND REAL FOOD SERVICES PRIVATE LIMITED,DIPP139482,RECOGNISED,U47219MH2023PTC404128,Prototype,Nagpur,Maharashtra,Food & Beverages,Others,,,,,OK
64b7b879e4b0c4486e86e05f,PROCOHAT INNOVATIONS PRIVATE LIMITED,DIPP139438,RECOGNISED,U62099MH2023PTC400533,EarlyTraction,Nagpur,Maharashtra,Events,Event Management,https://procohat.com,,,,OK
64b7822ae4b0c4486e86cfce,PATKOTWAR FOOD PRODUCTS PRIVATE LIMITED,DIPP139544,RECOGNISED,U56102MH2023PTC405939,Prototype,Nagpur,Maharashtra,Food & Beverages,Others,,,,,OK
