startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,scrapedEmail,scrapedPhone,scrapedLinkedIn,pagesChecked,scrapeStatus,scrapeError,cleanedEmail,cleanedPhone,cleanedLinkedIn,errorType
6200bc0ae4b0e4f8d26130c0,DUSKLINE INFRASTRUCTURES PRIVATE LIMITED,DIPP97219,RECOGNISED,U74999MH2015PTC263532,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,https://www.duskline.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.duskline.in/
Call log:
  - navigating to ""https://www.duskline.in/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
61fb6558e4b00f5d174b3dbf,ADITHYAPOWER PRIVATE LIMITED,DIPP94752,RECOGNISED,U51900MH2016PTC286220,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,https://www.adithyapower.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.adithyapower.in/
Call log:
  - navigating to ""https://www.adithyapower.in/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
61fa7957e4b00f5d174af5f5,SCRIPTANGLE PRIVATE LIMITED,DIPP95133,RECOGNISED,U72900MH2021PTC371621,Prototype,Nagpur,Maharashtra,IT Services,Web Development,https://script-angle.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://script-angle.com/
Call log:
  - navigating to ""https://script-angle.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61f78e4fe4b0bc85704310b8,NAVYONI TECHNOLOGIES PRIVATE LIMITED,DIPP94691,RECOGNISED,U74999MH2021PTC372408,Validation,Nagpur,Maharashtra,Green Technology,Clean Tech,https://www.navyoni.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.navyoni.com/
Call log:
  - navigating to ""https://www.navyoni.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61f6a9e9e4b0bc857042b972,UFF FOODS PRIVATE LIMITED,DIPP94210,RECOGNISED,U74999MH2020PTC337971,Validation,Nagpur,Maharashtra,Food & Beverages,Food Technology/Food Delivery,https://www.uff-india.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.uff-india.com/
Call log:
  - navigating to ""https://www.uff-india.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61f13a73e4b020b2f88a6ac4,AFIFA CARE PRIVATE LIMITED,DIPP96878,RECOGNISED,U85120MH2021PTC370427,Validation,Nagpur,Maharashtra,Healthcare & Lifesciences,Healthcare Services,https://www.afifacare.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.afifacare.com/
Call log:
  - navigating to ""https://www.afifacare.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61e04da4e4b020b2f8831689,KESHVAM INFRASOFT LLP,DIPP92923,RECOGNISED,AAZ-6790,Prototype,Nagpur,Maharashtra,IT Services,Project Management,http://www.keshavaminfrasoft.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.keshavaminfrasoft.com/
Call log:
  - navigating to ""http://www.keshavaminfrasoft.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61e004f2e4b020b2f882fdde,KSHITIJ TELEMEDIA NETWORKS PRIVATE LIMITED,DIPP92958,RECOGNISED,U64200MH2021PTC373439,Validation,Nagpur,Maharashtra,Telecommunication & Networking,Integrated communication services,https://www.kshitijnetworks.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.kshitijnetworks.com/
Call log:
  - navigating to ""https://www.kshitijnetworks.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61d925d1e4b020b2f8805dad,CC PRECAST SOLUTIONS PRIVATE LIMITED,DIPP95169,RECOGNISED,U45203MH2021PTC372963,EarlyTraction,Nagpur,Maharashtra,Construction,New-age Construction Technologies,https://www.ccprecastsolutions.con,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ccprecastsolutions.con/
Call log:
  - navigating to ""https://www.ccprecastsolutions.con/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61c6d907e4b041b4edd51037,AARMART ECOMMERCE LLP,DIPP92070,RECOGNISED,AAG-0021,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Services,https://www.aarmart.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.aarmart.com/
Call log:
  - navigating to ""https://www.aarmart.com/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
61c03489e4b041b4edd31464,BILLEX PRIVATE LIMITED,DIPP99930,RECOGNISED,U74999MH2022PTC380837,Validation,Nagpur,Maharashtra,Finance Technology,Billing and Invoicing,https://billexinsights.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://billexinsights.com/
Call log:
  - navigating to ""https://billexinsights.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
61b2e990e4b0b13f63e64b52,INFO ENERGY LLP,DIPP91649,RECOGNISED,AAX-2164,Validation,Nagpur,Maharashtra,Safety,Others,https://www.infoenergy.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.infoenergy.in/
Call log:
  - navigating to ""https://www.infoenergy.in/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
