startupId,startupName,originalWebsite,methodUsed,verifiedWebsite,emails,phones,linkedin,status,errorType,httpStatus,finalURL,attempts,notes
664de08de4b0608c0b1731e8,VLGS TECHNOLOGIES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6648975ae4b0608c0b166dc5,RAJOLI ADVISORY SERVICES PRIVATE LIMITED,https://NO WEBSITE,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66477190e4b0608c0b164880,CORPOSENT PHARMACEUTICAL PRIVATE LIMITED,https://www.corposent.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66337a6fe4b0cdd2e3dd70d3,SACRET POWER TO-X PRIVATE LIMITED,https://sacretpowertox.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66279dafe4b0cdd2e3db8de3,VIDYA WAREHOUSING PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66238b43e4b0cdd2e3daf70a,SIXTH SENSE HOSPITALITY SERVICES PRIVATELIMITED,https://SIXTH SENSE HOSPITALITY SERVICES PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
661e4db7e4b0d62d662d3525,DE FAIR HOMES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66151725e4b04e0505d811c7,UPCYCLE WASTE WISE PRIVATE LIMITED,https://UPCYCLE WASTE WISE PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65f955fbe4b07fb5e52f4844,SHUBH ADS PRIVATE LIMITED,https://SHUBH ADS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65f18cd2e4b023ec3d7594ad,ENLIGHT ENGINEERING,https://www.kamwa.co.in/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65e965f4e4b063fe21c6fbb5,ASG MAINTENANCE AND LAWN INNOVATION PRIVATE LIMITED,https://ASG MAINTENANCE AND LAWN INNOVATION PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65e6e910e4b063fe21c64e8a,FITROO CLOTHING PRIVATE LIMITED,http://www.fitrooclothing.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65dc7f5fe4b06352cbf09f9e,DASHOFRUIT FOODS PRIVATE LIMITED,http://www.dashofruit.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65ccb007e4b0da2d9424e016,VIKRAMADITYA CTL PRIVATE LIMITED,https://www.VIKRAMADITYACTL.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65ca0842e4b0cdd545780eca,SEVENCRAFT ARTS &amp; CREATIVES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65c9b714e4b06b4534b64131,SHARANYA SOLAR PRIVATE LIMITED,https://SHARANYA SOLAR PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65bde2c1e4b0411b473ff724,METTA MONK PRIVATE LIMITED,https://METTA MONK PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65b7e9b3e4b0db6d377f85c6,SHUBHLAXMI MECHATRONICS PRIVATE LIMITED,https://www.smpl.ind.in,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65b0a3d5e4b0dfd7729664cb,NITESH ASSOCIATES PRIVATE LIMITED,https://www.niteshassociatespvtltd.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6579e3c6e4b0846ec6788186,Sharesskills Infotech Private Limited,https://sharesskills.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
65743d79e4b0b08e4573de93,DONE MULTISERVICES PRIVATE LIMITED,https://www.donemultiservicespvtltd.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6572ed21e4b0b08e45738b17,MAGNUS FITNESS PRIVATE LIMITED,https://www.magnusfitnesspvtltd.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
